CRICOS Provider Code,Trading Name,Institution Name,Institution Type,Institution Capacity,Website,Postal Address Line 1,Postal Address Line 2,Postal Address Line 3,Postal Address Line 4,Postal Address City,Postal Address State,Postal Address Postcode
01899K,Canterbury Business College,Canterbury Business College Pty Ltd,Private,700,www.canterburybc.com.au,Level 6,29 - 35 Bellevue Street,,,SURRY HILLS,NSW,2010
01905F,Oceania Polytechnic,Oceania Polytechnic Institute of Education Pty. Ltd.,Private,670,www.opie.vic.edu.au,67 Jeffcott Street,,,,West Melbourne,VIC,3003
01912G,"RMIT University Pathways, RMIT UP",RMIT Training Pty Ltd,Private,"1,650",https://www.rmit.edu.au/up,PO Box 12058,A'Beckett Street,,,MELBOURNE,VIC,8006
01933B,Tristar Airlines,Tristar Aviation Company Pty Ltd,Private,50,http://www.tristaraviation.com.au/,14 Northern Avenue,,,,MENTONE,VIC,3194
01938G,Saint Stephen's College,Saint Stephen's College Ltd,Private,200,www.saintstephenscollege.net.au,PO Box 441,,,,OXENFORD,QLD,4210
01941B,International College of Queensland,Cairns Beauty Academy Pty Ltd,Private,285,www.studyinqld.com.au,9 31-33 Plaza Pde,,,,MAROOCHYDORE,QLD,4558
01953J,Clarendon Business College Pty Ltd,Clarendon Business College Pty Ltd,Private,900,www.academies.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
01958D,Waverley Christian College,Waverley Christian College Inc,Private,35,,P O Box 395,,,,VERMONT,VIC,3133
01968B,Thomas Carr College,Thomas Carr College Tarneit,Private,50,,35 Thomas Carr Drive,,,,TARNEIT,VIC,3029
01984B,Rehoboth Christian College,Association for Christian Education Inc.,Private,25,www.rehoboth.wa.edu.au,PO Box 82,,,,CANNINGTON,WA,6107
01985A,,Sunraysia Institute of TAFE,Government,300,www.sunitafe.edu.au,PO Box 1904,,,,MILDURA,VIC,3502
01994M,Magill College Sydney,Magill College Pty Ltd,Private,"1,960",www.magill.edu.au,Level 4,695-699 George Street,,,HAYMARKET,NSW,2000
02015K,Bureau of Meteorology,Bureau of Meteorology,Government,15,,GPO Box 1289,,,,MELBOURNE,VIC,3001
02025G,All Souls St Gabriels School,All Souls St Gabriels School Inc,Private,20,www.allsouls.qld.edu.au,PO Box 235,,,,CHARTERS TOWERS,QLD,4820
02026G,YWAM Training,Youth with a Mission Canberra Inc.,Private,"1,215",www.ywamcanberra.org,PO Box 7,,,,Mitchell,ACT,2911
02028E,Supreme Business College Pty Ltd,Supreme Business College Pty Ltd,Private,"1,300",www.academies.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
02029D,All Saints College,All Saints' College Inc.,Private,9,www.allsaints.wa.edu.au,PO Box 165,,,,WILLETTON,WA,6955
02035F,InTech Institute of Technology,Intech Institute of Technology Pty Ltd,Private,"3,048",www.intech.edu.au,PO BOX 4227,,,,FOREST LAKE,QLD,4078
02042G,Curtin College,Colleges of Business and Technology (WA) Pty Ltd,Private,"2,000",www.curtincollege.edu.au,GPO Box U1987,,,,PERTH,WA,6845
02044E,VIT (Victorian Institute of Technology),Victorian Institute of Technology Pty Ltd,Private,"6,773",www.vit.edu.au,Level 14,123 Queen Street,,,Melbourne,VIC,3000
02103K,Clip Joint Education,Clip Joint Academy of Hairdressing Pty Ltd as trustee for the Clip Joint Academy Unit Trust,Private,99,http://www.clipjoint.com.au,1st Floor  86 Gawler Place,,,,ADELAIDE,SA,5000
02117D,La Lingua Language School,Speak College Pty Ltd,Private,606,www.lalingua.com,"Level 6,",770 George Street,,,HAYMARKET,NSW,2000
02123F,YWAM Training Perth,Youth with a Mission (Perth) Inc,Private,420,www.ywamperth.org.au,PO Box 8501,,,,PERTH BUSINESS CENTRE,WA,6849
02137M,ILSC - Australia; ILSC - Brisbane; ILSC - Sydney; ILSC Perth; ILSC Adelaide; ILSC Melbourne; Greystone College,ILSC (Brisbane) Pty Ltd,Private,"13,823",www.ilsc.com.au,Suite 1 Level 1,232 Adelaide Street,,,BRISBANE,QLD,4000
02139J,Language Links,Language Links International Pty Ltd,Private,318,www.languagelinks.wa.edu.au,"Level 1, 116-120 Roe Street",,,,NORTHBRIDGE,WA,6003
02140E,Sydney School of Business and Technology,Sydney School of Business and Technology Pty Ltd,Private,"1,333",www.ssbt.edu.au,"Ground Floor, 4 Railway Pde",,,,Burwood,NSW,2134
02155J,Academy of Interactive Technology,Academy of Interactive Technology,Private,"1,392",www.ait.nsw.edu.au,Level 2,7 Kelly St,,,ULTIMO,NSW,2007
02160A,Unity College Australia,Unity College Australia Incorporated,Private,250,http://www.unity.edu.au,PO Box 467,,,,BELCONNEN,ACT,2617
02177C,Sheldon College,Sheldon College Ltd,Private,50,www.sheldoncollege.com,PO Box 1188,,,,CAPALABA,QLD,4157
02184D,Caroline Chisholm Catholic College,Caroline Chisholm Catholic College,Private,30,www.cccc.vic.edu.au,204 Churchill Avenue,,,,BRAYBROOK,VIC,3019
02189K,Ormiston College,Ormiston College Ltd,Private,15,www.ormistoncollege.com.au,97 Dundas Street West,,,,ORMISTON,QLD,4160
02193C,South Australian Institute of Business and Technology (SAIBT)/CELUSA,South Australian Institute of Business and Technology Pty Ltd,Private,"1,200",http://www.saibt.sa.edu.au,GPO Box 2471,,,,ADELAIDE,SA,5001
02200J,Victory Life International Bible Training Centre,Victory Life International Bible Training Centre Incorporated,Private,75,www.vlibtc.wa.edu.au,PO Box 20,,,,OSBORNE PARK,WA,6916
02201G,LCI Melbourne,LCI Melbourne Pty Ltd,Private,100,www.lcimelbourne.edu.au,PO Box 1219,,,,Collingwood,VIC,3066
02205D,YWAM Training Townsville,YWAM Townsville Assoc. Inc.,Private,450,www.ywamtownsville.org,PO Box 6221,,,,TOWNSVILLE,QLD,4810
02209M,,Our Lady of the Sacred Heart College,Private,50,www.olsh.catholic.edu.au,496 Regency Road,,,,ENFIELD,SA,5085
02214C,"The Inter-Continental College of Business, English Academy",Inter-Continental Colleges Pty Ltd,Private,120,www.intercontinental.edu.au,PO Box 384,,,,Bankstown,NSW,1885
02224A,Leo Cussen Centre for Law,Leo Cussen Institute,Private,50,www.leocussen.vic.edu.au,Level 15,15 William Street,,,MELBOURNE,VIC,3000
02225M,USQ - Sydney Education Centre,University of Southern Queensland,Government,"1,320",www.usq.edu.au,University of Southern Queensland,West Street,,,TOOWOOMBA,QLD,4350
02227J,Mercy College,Mercy Diocesan College,Private,5,,760 Sydney Road,,,,COBURG,VIC,3058
02233M,Baxter Institute,Sheila Baxter Training Centre Pty Ltd,Private,"2,565",www.baxter.vic.edu.au,72-92 Langford St,,,,NORTH MELBOURNE,VIC,3051
02260G,The Hills Grammar School,The Hills Grammar School,Private,49,www.hillsgrammar.nsw.edu.au,Private Bag No 1,,,,ROUND CORNER,NSW,2158
02266B,The Athena School,THE ATHENA SCHOOL LIMITED,Private,20,www.athena.nsw.edu.au,28 Oxford Street,,,,NEWTOWN,NSW,2042
02267A,St Paul's Grammar School,St Paul's Grammar School Penrith Ltd,Private,60,www.stpauls.nsw.edu.au,Locked Bag 8016,,,,PENRITH,NSW,2751
02268M,Kincoppal - Rose Bay School of the Sacred Heart,Kincoppal - Rose Bay School,Private,85,www.krb.nsw.edu.au,New South Head Road,,,,ROSE BAY,NSW,2029
02269K,Macarthur Anglican School,The Council of Macarthur Anglican School,Private,49,www.macarthur.nsw.edu.au,PO Box 555,,,,CAMDEN,NSW,2570
02270F,Abbotsleigh,The Council of Abbotsleigh,Private,35,www.abbotsleigh.nsw.edu.au,Locked Bag 1666,,,,WAHROONGA,NSW,2076
02273C,Tyndale Christian School,The Association for Christian Education of Blacktown Ltd,Private,150,www.tyndale.edu.au,Locked Bag 35,,,,BLACKTOWN DC,NSW,2148
02275A,Wenona School,Wenona School Ltd,Private,49,www.wenona.nsw.edu.au,176 Walker Street,,,,NORTH SYDNEY,NSW,2060
02276M,St Andrew's Cathedral School,The Council of St Andrew's Cathedral School,Private,50,www.sacs.nsw.edu.au,Sydney Square,,,,SYDNEY,NSW,2000
02277K,Scots All Saints College,The Presbyterian Church (New South Wales) Property Trust,Private,65,scotsallsaints.nsw.edu.au,4173 O'Connell Road,,,,White Rock,NSW,2795
02280D,Presbyterian Ladies' College Sydney,The Presbyterian Church (New South Wales) Property Trust,Private,100,www.plc.nsw.edu.au,Meta Street,,,,CROYDON,NSW,2132
02284M,Kambala,Kambala,Private,45,www.kambala.nsw.edu.au,794 New South Head Road,,,,ROSE BAY,NSW,2029
02285K,The Armidale School,The Armidale School,Private,45,www.as.edu.au,Locked Bag 3003,,,,ARMIDALE,NSW,2350
02287G,The Scots College,The Presbyterian Church (New South Wales) Property Trust,Private,210,www.tsc.nsw.edu.au,Victoria Road,,,,BELLEVUE HILL,NSW,2023
02290B,Newington College,Council of Newington College,Private,49,www.newington.nsw.edu.au,200 Stanmore Road,,,,STANMORE,NSW,2048
02293K,The McDonald College,The McDonald College Limited,Private,35,www.mcdonald.nsw.edu.au,Locked Bag 2031,,,,STRATHFIELD,NSW,2135
02295G,PLC Armidale,The Presbyterian Church (New South Wales) Property Trust,Private,133,www.plcarmidale.nsw.edu.au/index.htm,Locked Bag 5,Crest Road,,,ARMIDALE,NSW,2350
02298E,Cranbrook School,Cranbrook School,Private,40,www.cranbrook.nsw.edu.au,5 Victoria Road,,,,BELLEVUE HILL,NSW,2023
02300E,The Illawarra Grammar School,The Council of The Illawarra Grammar School,Private,40,www.tigs.nsw.edu.au,PO Box 225,,,,FIGTREE,NSW,2525
02301D,,St John's Grammar School Inc,Private,60,www.stjohns.sa.edu.au,PO Box 234,,,,BELAIR,SA,5052
02306K,Ravenswood School for Girls,Ravenswood School For Girls,Private,100,www.ravenswood.nsw.edu.au,Henry Street,,,,GORDON,NSW,2072
02308G,Trinity Grammar School,The Council of Trinity Grammar School,Private,45,www.trinity.nsw.edu.au,PO Box 174,,,,SUMMER HILL,NSW,2130
02315J,William Clarke College,The William Branwhite Clarke College Council,Private,20,www.wcc.nsw.edu.au,PO Box 6010,Baulkham Hills Business Centre,,,BAULKHAM HILLS,NSW,2153
02316G,Calrossy Anglican School,Calrossy Anglican School,Private,40,www.calrossy.nsw.edu.au,PO Box 1245,,,,TAMWORTH,NSW,2340
02318F,Meriden School,Meriden School,Private,75,www.meriden.nsw.edu.au,PO Box 78,,,,STRATHFIELD,NSW,2135
02320A,Tara Anglican School for Girls,The Council of Tara Anglican School for Girls,Private,49,www.tara.nsw.edu.au,Masons Drive,,,,NORTH PARRAMATTA,NSW,2151
02322K,"St Catherine's School, Waverley","The Council of St Catherine's School, Waverley",Private,75,www.stcaths.nsw.edu.au,26 Albion Street,,,,WAVERLEY,NSW,2024
02326F,"The King's School, Tudor House",The Council of the King's School,Private,75,www.kings.edu.au,PO Box 1,,,,PARRAMATTA,NSW,2124
02328D,MLC School,MLC School,Private,50,www.mlcsyd.nsw.edu.au,PO Box 643,,,,BURWOOD,NSW,1805
02333G,Bishop Druitt College,Bishop Druitt College Council Inc,Private,20,www.bdc.nsw.edu.au,PO Box 8004,,,,COFFS HARBOUR,NSW,2450
02340G,Pacific Hills Christian School,Pacific Group of Christian Schools Limited,Private,80,www.pacifichills.nsw.edu.au,Locked Bag 3,,,,ROUND CORNER,NSW,2158
02342F,St Mark's Coptic Orthodox College,Coptic Orthodox Church (NSW) Property Trust,Private,20,www.smcoc.nsw.edu.au,PO Box 747,,,,MOOREBANK,NSW,1875
02344D,Newcastle Grammar School,Newcastle Grammar School Ltd,Private,20,www.ngs.nsw.edu.au,PO Box 680,,,,NEWCASTLE,NSW,2300
02353C,Sydney English Academy,Sydney English Academy Pty Ltd,Private,180,www.sea-english.edu.au,"Shop 3A, Upper Ground Floor",108 Bourke St,,,MELBOURNE,VIC,3000
02362B,Lexis English,Lexis Sydney Education Pty Ltd,Private,480,https://www.lexisenglish.com/,PO Box 702,,,,MANLY,NSW,1655
02370B,Royal Brisbane International College; Royal Brisbane Institute of Technology,Dynamic Management Group Pty Ltd,Private,300,www.rbit.qld.edu.au,PO Box 2752,,,Toowoomba,Toowoomba,QLD,4350
02375G,,University Senior College at Adelaide University Inc,Private,200,www.usc.adelaide.edu.au,c/o Adelaide University,North Terrace,,,ADELAIDE,SA,5005
02379D,German International School Sydney,German School Johannes Gutenberg,Private,30,www.germanschoolsydney.com,33 Myoora Road,,,,TERREY HILLS,NSW,2084
02380M,Le Cordon Bleu Australia Pty Limited,Le Cordon Bleu Australia Pty Limited,Private,"3,680",www.cordonbleu.edu/australia,Days Rd,,,,REGENCY PARK,SA,5010
02392G,Airwork Helicopters,A.M.T. Helicopters Pty Ltd,Private,4,www.airwork.com.au,PO Box 857,,,,CABOOLTURE,QLD,4510
02398A,Academies Australasia Institute,Academies Australasia Institute Pty Limited,Private,"2,867",www.academies.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
02399M,,Academy of English Pty Ltd,Private,900,www.academies.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
02401M,Australian International High School,Australian International High School Pty Limited,Private,120,www.academies.nsw.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
02402K,,Endeavour College Inc,Private,10,www.endeavour.sa.edu.au,PO Box 80,,,,ENFIELD PLAZA,SA,5085
02403J,The Queensland Institute of Commerce and Technology Pty Ltd,The Queensland Institute of Commerce and Technology Pty Ltd,Private,376,www.qcve.edu.au,"Level 9, 601 Bourke Street",,,,Melbourne,VIC,3000
02406F,,The Academy of Interactive Entertainment Ltd,Private,248,www.aie.edu.au,PO Box 519,,,,Dickson,ACT,2602
02408D,Australian College of Technology,Australian College of Technology Pty Ltd,Private,"1,000",www.academies.edu.au,Level 6,505 George Street,,,SYDNEY,NSW,2000
02411J,Box Hill Institute,Box Hill Institute,Government,"2,574",www.boxhill.edu.au,Private Bag 2014,,,,BOX HILL,VIC,3128
02423E,Coomera Anglican College,The Corporation of the Synod of the Diocese of Brisbane,Private,40,www.cac.qld.edu.au,PO Box 457,,,,UPPER COOMERA,QLD,4209
02425C,Aviation Australia,Aviation Australia Pty Ltd,Government,743,www.aviationaustralia.aero,PO Box 1038,,,,EAGLE FARM,QLD,4009
02426B,Kaplan Business School Pty Ltd,Kaplan Business School Pty Ltd,Private,"11,395",www.kbs.edu.au,Level 12,45 Clarence Street,,,Sydney,NSW,2000
02427A,Ozford College,Ozford College Pty Ltd,Private,200,www.ozford.edu.au,123 Lonsdale St,,,,MELBOURNE,VIC,3000
02439G,"AAPoly, AMI Education",Academies Australasia Polytechnic Pty Limited,Private,"4,083",http://www.aapoly.edu.au/,Level 7,628 Bourke St,,,MELBOURNE,VIC,3000
02447G,St Andrew's Anglican College,The Corporation of the Synod of the Diocese of Brisbane,Private,15,www.saac.qld.edu.au,40 Peregian Springs Drive,,,,PEREGIAN SPRINGS,QLD,4573
02448G,Alia College,Alia College Ltd,Private,15,www.alia.vic.edu.au,119 Auburn Road,Box 10,,,HAWTHORN EAST,VIC,3123
02449F,Emmanuel Anglican College,Emmanuel Anglican College Council,Private,25,www.eac.nsw.edu.au,62 Horizon Drive,,,,BALLINA,NSW,2478
02450B,Education Access Australia,Education Access (Australia) Pty Ltd,Private,719,https://eaa.edu.au/,51 Brady Street,,,,South Melbourne,VIC,3205
02462J,Burleigh Heads Language Centre,Burleigh Heads Language Centre Pty Ltd,Private,561,,41 James Street,,,,BURLEIGH HEADS,QLD,4220
02468C,Geraldton Grammar School,Geraldton Grammar School Inc.,Private,9,www.geraldtongrammarschool.wa.edu.au,PO Box 76,,,,GERALDTON,WA,6531
02471G,Western Australian Aviation College,Manageering Pty Ltd,Private,60,www.waaviationcollege.com.au,41 Eagle Drive,,,,JANDAKOT,WA,6164
02475D,Victoria University,Victoria University,Government,"4,400",www.vu.edu.au/international,PO Box 14428,,,,MELBOURNE,VIC,8001
02483D,Australian Child Care Career Options,Australian Child Care Career Options (ACCCO) Pty Ltd,Private,450,http://www.accco.com.au,PO Box 1108,,,,FORTITUDE VALLEY,QLD,4006
02485B,,Blackfriars Priory School,Private,50,www.blackfriars.sa.edu.au,PO Box 86,,,,PROSPECT,SA,5082
02491D,"Top Education Institute, Australian National Institute of Management and Commerce",Top Education Group Ltd,Private,"3,000",www.imc.edu.au,"Suite 1, Level 1","Bay 3, 2 Locomotive Street",,,EVELEIGH,NSW,2015
02494A,Australian College of Agriculture & Horticulture (ACAH); Australian College of Agriculture & Horticulture,Rabarl Pty Ltd,Private,390,http://www.acah.edu.au,PO Box 1105,Werribee Plaza,Werribee,,MELBOURNE,VIC,3030
02499G,Lexis English Brisbane,Shane Global Village Brisbane Pty Ltd,Private,636,http://www.lexisenglish.com,PO Box 12043 George Street,,,,BRISBANE,QLD,4003
02500G,Whitsundays College of English,Whitsundays College of English Pty Ltd,Private,516,www.wce.edu.au,Level 1,120 Pacific Hwy,,,NORTH SYDNEY,NSW,2060
02501G,,Ozford English Language Centre Pty Ltd,Private,"2,160",www.ozford.edu.au,"Lvl 7, 310 King St",,,,MELBOURNE,VIC,3000
02506B,Australian National Institute of Business & Technology,Australian National Institute of Business & Technology Pty Ltd,Private,"1,354",http://www.anibt.vic.edu.au,Level 13,474 Flinders St,,,MELBOURNE,VIC,3000
02522B,Australian College of Make-Up and Special Effects,ACMUSE Australia Pty Ltd,Private,20,www.makeupcollege.com.au,PO Box 948,,,,Broadway,NSW,2007
02527G,Moerlina School,The Moerlina School Inc.,Private,9,www.moerlina.wa.edu.au,16 Brockway Road,,,,MT CLAREMONT,WA,6010
02529F,Union Institute of Language,Union Institute of Language - Springfield Campus Pty Ltd,Private,450,,PO Box 4094,,,,SPRINGFIELD,QLD,4300
02530B,Australian National Airline College,Moorabbin Aviation Services Pty Ltd,Private,120,http://www.moorabbinaviationservices.com.au,125 Second Avenue,Moorabbin Airport,,,MENTONE,VIC,3194
02534J,Canterbury Language Academy,USQ International College Pty Ltd,Private,248,http://canterburyla.com.au/,Level 4,29 - 35 Bellevue Street,,,SURRY HILLS,NSW,2010
02537F,Sunshine Coast Grammar School,Presbyterian and Methodist Schools Association,Private,45,www.scgs.qld.edu.au,372 Mons Road,,,,FOREST GLEN,QLD,4556
02543G,Kingston International College,Kingston International College Pty Ltd,Private,870,www.kingstoncollege.wa.edu.au,"Lot 131, 131 Harold st",,,,HIGHGATE,WA,6003
02551G,English Language Company Australia Pty Ltd,English Language Company Australia Pty Ltd,Private,"1,168",www.elc.edu.au,"Level 4 and 5, 10 Quay Street",,,,Haymarket,NSW,2000
02552G,Brighton Institute of Technology,Brighton Educational Services Pty Ltd,Private,722,,380 Bourke St,,,,Melbourne,VIC,3000
02564C,"Elizabeth Bence School of Fashion, Duke College",Elizabeth Bence Pty Ltd,Private,"1,020",www.duke.edu.au,PO Box 3323,,,,PARRAMATTA,NSW,2124
02571D,"Universal Business School Sydney (UBSS), Group Colleges Australia",Group Colleges Australia Pty Ltd,Private,"9,267","www.ubss.edu.au, www.gca.edu.au",Locked Bag A3100,,,,SYDNEY South,NSW,1235
02598D,Our Lady of the Sacred Heart Catholic College,Our Lady of the Sacred Heart Catholic College,Private,30,www.olshalice.catholic.edu.au,PO Box 2508,,,,ALICE SPRINGS,NT,0871
02599C,King's Own International College,Australian Academy of Commerce Pty Ltd,Private,300,http://www.ausacademy.edu.au/,Level 7,11-17 York Street,,,Sydney,NSW,2000
02606J,"AH & B College, AH & B College Pty Ltd",AH & B College Pty Ltd,Private,526,http://www.ahbc.nsw.edu.au/,PO Box 516,,,,BONDI JUNCTION,NSW,1355
02615G,Brisbane College of Australia ; Brisbane College of English,Brisbane College of Australia Pty Ltd,Private,154,,PO Box 10704,,,,ADELAIDE STREET BRISBANE,QLD,4000
02622J,"Hills Adventist College, Hurstville Adventist School, Macarthur Adventist College, Mountain View Adventist College, Wahroonga Adventist School, Sydney Adventist School - Auburn",Seventh-day Adventist Schools (Greater Sydney) Ltd,Private,175,www.greatersydney.adventist.edu.au,4 Cambridge Street,,,,EPPING,NSW,2121
02634E,Academia International & Academia Australia,Australian Academy of Vocational Education and Trades Pty Ltd,Private,"2,250",http://www.academia21.com,399 Lonsdale Street,,,,MELBOURNE,VIC,3000
02639M,Holmes Institute,Holmes Institute Pty Ltd,Private,"3,200",www.holmesinstitute.edu.au,185 Spring St,,,,MELBOURNE,VIC,3000
02644C,ECA College; The English Language School in Sydney (ELSIS),Education Centre of Australia Pty Ltd,Private,"2,146",www.elsis.edu.au,Levels 1 & 2,160-166 Sussex Street,,,SYDNEY,NSW,2000
02645B,Australia-International Institute of Workplace Training,A.I.W.T. Pty. Ltd.,Private,370,www.aiwt.edu.au,823 Wellington Street,,,,West Perth,WA,6005
02647M,Australian Performing Arts Grammar School,Australian Performing Arts Grammar School Limited,Private,40,www.apgs.nsw.edu.au,Level 3 / 255 Broadway,,,,Glebe,NSW,2037
02649J,Flight Training Adelaide,Flight Training Adelaide Pty Ltd,Private,550,www.flighttrainingadelaide.com,Hangar 54,Kittyhawk Lane,,,PARAFIELD AIRPORT,SA,5106
02650E,Australian University of Theology Limited,Australian University of Theology Limited,Private,286,www.actheology.edu.au,Level 5,33 York Street,,,SYDNEY,NSW,2000
02657J,"Macquarie English, Macquarie Institute",Macquarie Education Group Australia Pty Ltd,Private,"1,028",www.mega.edu.au,PO Box Q1689,,,,QUEEN VICTORIA BUILDING,NSW,1230
02658G,"Abbey College Australia, Abbey Training",Logic Entity Australia Pty Ltd,Private,"1,500",www.abbeycollege.edu.au,GF & L3,187 Thomas Street,,,Haymarket,NSW,2000
02660C,"International Film School Sydney, Academy of Film Theatre and Television",International Film School Sydney Pty Ltd,Private,100,http://www.aftt.edu.au,41 Holt Street,,,,SURRY HILLS,NSW,2010
02663M,"Browns English Language School, Browns Professional",Browns English Language School Pty Ltd,Private,"2,212",www.brownsenglish.edu.au,PO Box 10485,,,,SOUTHPORT,QLD,4215
02664K,Excelsia University College,Excelsia University College,Private,"6,000",http://excelsia.edu.au/,1 City View Road,,,,Pennant Hills,NSW,2120
02668F,Pacific College of Technology,Pacific College Pty Ltd,Private,"1,180",www.pct.edu.au,Levels 1 and 2,91 - 95 Rawson Street,,,AUBURN,NSW,2144
02672K,"Greenwich English College, Greenwich Management College",Greenwich College Pty Ltd,Private,"23,426",www.greenwichcollege.com.au,Level 2,396 Pitt Street,,,SYDNEY,NSW,2000
02674G,International School of Western Australia,Australian Association for International Education Inc,Private,30,www.iswa.wa.edu.au,P O Box 175,,,,Scarborough,WA,6922
02678D,Victory Institute,Victory Institute of Vocational Education Pty Ltd,Private,832,www.victory.nsw.edu.au,Level 8,22 Market Street,,,Sydney,NSW,2000
02679C,AOI Institute,Australian Online Institute Pty Ltd,Private,592,www.aoi.edu.au,15/108 Bourke Street,,,,MELBOURNE,VIC,3000
02684F,WIN English Centre /  WIN College,George Education Group Pty Ltd,Private,"1,880",www.wincollege.edu.au,Level 1,302-306 Elizabeth St,,,Surry Hills,NSW,2010
02695C,Imagine Education Australia,Imagine Education Australia Pty Ltd as trustee for The Imagine Education Australia Unit Trust,Private,"3,534",www.imagineeducation.com.au,PO Box 4931,,,,BUNDALL BC,QLD,4215
02708C,Graceview Adventist College,Seventh-Day Adventist Schools (South Queensland) Limited,Private,35,www.goldcoastchristiancollege.qld.edu.au,7-9 Bridgman Drive,,,,REEDY CREEK,QLD,4227
02709B,,Trinity College Senior School,Private,50,www.trinity.sa.edu.au,PO Box 131,,,,GAWLER,SA,5118
02716C,Della International College Pty Ltd,Della International College Pty Ltd,Private,700,www.dellainternational.edu.au,150-154 A'Beckett Street,,,,MELBOURNE,VIC,3000
02723D,UOW College Australia,UOWC Ltd,Private,"1,390",www.uowcollege.edu.au,Locked Bag 8812,South Coast Mail Centre,,,WOLLONGONG,NSW,2521
02724C,Australian International Islamic College Board Inc,Australian International Islamic College Board Inc,Private,22,www.aiic.qld.edu.au,724 Blunder Road,,,,DURACK,QLD,4077
02727M,Holmes Institute,Holmes Institute Pty Ltd,Private,"3,257",www.holmesinstitute.edu.au,185 Spring Street,,,,MELBOURNE,VIC,3000
02731D,Avondale University,Avondale University,Private,605,www.avondale.edu.au,PO Box 19,,,,COORANBONG,NSW,2265
02736K,"Strathfield College, Sydney Jacaranda College",Strathfield College Pty Ltd,Private,"1,860",www.strathfieldcollege.edu.au,Level 2,84 - 86 Mary Street,,,Surry HIlls,NSW,2010
02738G,"Campion College, Australia",Campion Institute Limited,Private,60,www.campion.edu.au,PO Box 952,,,,TOONGABBIE EAST,NSW,2146
02743M,LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY,LYCEE CONDORCET THE INTERNATIONAL FRENCH SCHOOL OF SYDNEY LTD,Private,25,www.condorcet.com.au,758 Anzac Parade,,,,MAROUBRA JUNCTION,NSW,2035
02746G,Queensland Academy of Technology,Australia Moreton Education Group Pty Ltd,Private,"1,715",,PO Box 10862,Adelaide Street,,,BRISBANE,QLD,4001
02747G,Australasia International School,Onyx Developments Pty Ltd,Private,"1,451",www.aischool.edu.au,Level 5 127 Liverpool Street,,,,SYDNEY,NSW,2000
02748F,Sun Pacific College,Jasagency Pty. Ltd.,Private,864,www.spcgroup.me,55-65 Poolwood Road,Sun Pacific College,,,Kewarra Beach,QLD,4879
02754G,PGA International Golf Institute,PGA OF Australia Institute Pty Ltd,Private,100,www.pga.org.au,600 Thompsons Rd,,,,SANDHURST,VIC,3977
02759C,The Kooralbyn International School,Kooralbyn Campus Inc,Private,25,www.tkis.qld.edu.au,Ogilvie Place,,,,KOORALBYN,QLD,4285
02763G,Queensland International Institute,Queensland International Study Group Pty Ltd,Private,400,www.qii.qld.edu.au,101 Barmore Street,,,,Tarragindi,QLD,4121
02767C,Holmes Institute,Holmes Institute Pty Ltd,Private,"4,177",www.holmesinstitute.edu.au,185 Spring Street,,,,MELBOURNE,VIC,3000
02771G,Australian College of Information Technology,Precept Education Pty Ltd,Private,180,www.acit.edu.au,"Level 1, 2/246 Varsity Parade",,,,VARSITY LAKES,QLD,4227
02778M,,MIT Institute Pty Ltd,Private,484,www.mitinstitute.nsw.edu.au,Level 9,280 - 282 Pitt Street,,,SYDNEY,NSW,2000
02790D,"Hays International College Pty Ltd, Hays International College",Hays International College Pty Ltd,Private,400,www.hic.vic.edu.au,693 Station St,,,,Box Hill,VIC,3128
02799F,St George College,St George College Inc,Private,100,www.sgc.sa.edu.au,PO Box 29,,,,Torrensville Plaza,SA,5031
02800G,Warwick Institute of Australia Pty Ltd,Warwick Institute of Australia Pty Ltd,Private,"2,880",www.warwick.edu.au,PO Box K25,,,,HAYMARKET,NSW,1240
02804C,EQUALS International,EQUALS International (Aust) Pty Ltd,Private,654,www.equals.edu.au,GPO Box 2443,,,,ADELAIDE,SA,5001
02813B,"Australasian Academy of Cosmetic Dermal Science,  Australian College of Beauty Therapy, Australian College of Specialist Makeup",Niche Education Group Pty Ltd,Private,40,http://www.nicheeducation.com.au,PO Box 8477,,,,PERTH BC,WA,6849
02815M,Menzies Institute of Technology,Menzies Institute of Technology Pty Ltd,Private,453,http://www.menzies.vic.edu.au,Ground Level,355 Spencer Street,,,West Melbourne,VIC,3003
02819G,The Academy of International Education (Australia),Modern Communications Australia Pty Ltd,Private,235,,PO Box 1121,,,,Carlton,VIC,3053
02835G,Sunshine College of Management Pty Ltd,Sunshine College of Management Pty Ltd,Private,580,http://www.scm.vic.edu.au/Home,18 Withers St,,,,Sunshine,VIC,3020
02847C,Bayside College Pty Ltd,Bayside College Pty Ltd,Private,768,www.baysideenglish.vic.edu.au,"Level 7, 310 King St",,,,MELBOURNE,VIC,3000
02851G,"UWS College, Western Sydney University The College,UWS Enterprises Pty Limited",Western Sydney University Enterprises Pty Limited,Private,694,www.westernsydney.edu.au/thecollege,PO Box 232,,,,Parramatta,NSW,2124
